# Inputs `services/name_rules.normalize_nfc` normalises differently from OTP.
# Each line is `INPUT<TAB>WHAT-WE-PRODUCE`, both comma-separated hex.
#
# Keyed on the OUTPUT as well as the input. Keying on the input alone exempted
# a quarter of the corpus from output checking entirely: deleting the
# `previous_ccc == 0` clause from `_compose` — the whole point of that function
# — left `check.py` at exit 0, because the rows it broke were already listed
# for a different reason. `check.py` also asserts this file's row count.
#
# Rows are DEDUPED. An earlier revision listed 24 signatures twice, every one
# `1100..1117,AC00,11A7`, produced where two generators in probe.exs overlap.
# `check.py` compares deduped to deduped, so it could not see a row listed
# twice. The count in the banner below is the unique one, and is the figure
# `check.py` asserts against.
#
# ==========================================================================
#   17423 unique diverging signatures out of 72269 corpus rows.
#
#     group 1       32   composition rule (base, mark, class-zero, lower mark)
#     group 2A     616   jamo lead + non-Hangul two-part vowel
#     group 2B   15652   jamo lead + precomposed Hangul syllable
#     group 2C     126   jamo lead + bare jamo  (REVERSE direction of 2B)
#     group 2D     997   OTP deletes U+11A7 after an LV syllable or L+V pair
# ==========================================================================
#
# READ THIS BEFORE CHANGING `_compose`:
#
#   * 2C IS THE REVERSE DIRECTION FROM 2B. A fix aimed only at 2B makes 2C
#     worse. This is the trap in this artefact.
#   * 2D is PURE HANGUL — no second script involved — so do not describe the
#     gap as cross-script. It was invisible until the trailers were extended
#     down to U+11A7; they started at U+11A8.
#   * These counts are NOT the size of the gap. They are the size of the
#     intersection between the gap and this corpus. Measured exhaustively
#     rather than over the probe, groups 1, 2A and 2C are 91,200 / >=3,604 /
#     10,773 — three orders of magnitude apart from what the probe finds for
#     group 1. They looked steady across earlier widenings only because those
#     widenings moved the axis 2B feeds on and left the others alone.
#   * 2B does not converge. It diverges for 106 of 125 jamo leads (84.8%).
#
# --- what these are ---
#
# GROUP 1 -- the composition-rule gap documented in `normalize_nfc`: a base, a
# mark, any class-zero character, then a mark of lower class.
#
# GROUPS 2A-2D -- the Hangul routing gap, OpenFn/apollo#655. `_compose` sends
# any cluster containing a Hangul-class character to Python's spec NFC, and OTP
# instead composes onto the cluster lead. That is FOUR mechanisms:
#
#   2A -- a jamo lead followed by a *non-Hangul* two-part vowel (Indic,
#      Sinhala, Balinese). No Hangul syllable involved, which is why it is the
#      least obvious.
#   2B -- a jamo lead followed by a precomposed Hangul syllable, which OTP
#      decomposes because it is not the cluster lead. `U+1113 U+AC00` is
#      `1113,1100,1161` in OTP and `1113,AC00` here.
#   2C -- a jamo lead followed by bare jamo, which we compose into a syllable
#      and OTP leaves apart.
#   2D -- OTP deletes U+11A7 after an LV syllable or an L+V pair, for 100% of
#      the 399 LV syllables. We keep it.
#
# The corpus sweeps the boundary of every range in `name_rules`, plus one
# either side, generated by edges.py — a hand-picked slice never steps across
# an edge, and three rounds running that is where the surviving mutant was.
# It also sweeps the extended jamo blocks (U+A960-A97C lead,
# U+D7B0-D7C6 vowel, U+D7CB-D7FB trailing). It had zero codepoints from all
# three, so narrowing any of the `_HANGUL_*` ranges in `name_rules` left this
# harness at exit 0 while `U+A960 U+1161` went from one grapheme to two.
#
# Ordinary Korean text is unaffected: `한국어`, `안녕하세요` and `환자 등록` all
# round-trip. But 2D is pure Hangul, so do not describe the gap as cross-script.
#
# If you have fixed a group, delete its rows and re-run check.py.
# --- group 1: composition rule (32 rows) ---
41,302,200C,323	1EAC,200C
1120,B5C9	1120,B5C9
1120,B636	1120,B636
1120,B6A3	1120,B6A3
1120,B710	1120,B710
1120,B77D	1120,B77D
1120,B7E9	1120,B7E9
1120,B856	1120,B856
1120,B8C3	1120,B8C3
1120,B930	1120,B930
1120,B99D	1120,B99D
1120,BA0A	1120,BA0A
1120,BA77	1120,BA77
1120,BAE4	1120,BAE4
1120,BB51	1120,BB51
1120,BBBD	1120,BBBD
1120,BC2A	1120,BC2A
1120,BC97	1120,BC97
1120,BD04	1120,BD04
1120,BD71	1120,BD71
1120,BDDE	1120,BDDE
1120,BE4B	1120,BE4B
1120,BEB8	1120,BEB8
1120,BF25	1120,BF25
1120,BF91	1120,BF91
1120,BFFE	1120,BFFE
1120,C06B	1120,C06B
1120,C0D8	1120,C0D8
1120,C145	1120,C145
1120,C1B2	1120,C1B2
1120,C21F	1120,C21F
1120,C28C	1120,C28C
1120,C2F9	1120,C2F9
1120,C365	1120,C365
1120,C3D2	1120,C3D2
1120,C43F	1120,C43F
1120,C4AC	1120,C4AC
1120,C519	1120,C519
1120,C586	1120,C586
1120,C5F3	1120,C5F3
1120,C660	1120,C660
1120,C6CD	1120,C6CD
1120,C739	1120,C739
1120,C7A6	1120,C7A6
1120,C813	1120,C813
1120,C880	1120,C880
1120,C8ED	1120,C8ED
1120,C95A	1120,C95A
1120,C9C7	1120,C9C7
1120,CA34	1120,CA34
1120,CAA1	1120,CAA1
1120,CB0D	1120,CB0D
1120,CB7A	1120,CB7A
1120,CBE7	1120,CBE7
1120,CC54	1120,CC54
1120,CCC1	1120,CCC1
1120,CD2E	1120,CD2E
1120,CD9B	1120,CD9B
1120,CE08	1120,CE08
1120,CE75	1120,CE75
1120,CEE1	1120,CEE1
1120,CF4E	1120,CF4E
1120,CFBB	1120,CFBB
1120,D028	1120,D028
1120,D095	1120,D095
1120,D102	1120,D102
1120,D16F	1120,D16F
1120,D1DC	1120,D1DC
1120,D249	1120,D249
1120,D2B5	1120,D2B5
1120,D322	1120,D322
1120,D38F	1120,D38F
1120,D3FC	1120,D3FC
1120,D469	1120,D469
1120,D4D6	1120,D4D6
1120,D543	1120,D543
1120,D5B0	1120,D5B0
1120,D61D	1120,D61D
1120,D689	1120,D689
1120,D6F6	1120,D6F6
1120,D763	1120,D763
1121,AC01	1121,AC01
1121,AC6D	1121,AC6D
1121,ACDA	1121,ACDA
1121,AD47	1121,AD47
1121,ADB4	1121,ADB4
1121,AE21	1121,AE21
1121,AE8E	1121,AE8E
1121,AEFB	1121,AEFB
1121,AF68	1121,AF68
1121,AFD5	1121,AFD5
1121,B041	1121,B041
1121,B0AE	1121,B0AE
1121,B11B	1121,B11B
1121,B188	1121,B188
1121,B1F5	1121,B1F5
1121,B262	1121,B262
1121,B2CF	1121,B2CF
1121,B33C	1121,B33C
1121,B3A9	1121,B3A9
1121,B415	1121,B415
1121,B482	1121,B482
1121,B4EF	1121,B4EF
1121,B55C	1121,B55C
1121,B5C9	1121,B5C9
1121,B636	1121,B636
1121,B6A3	1121,B6A3
1121,B710	1121,B710
1121,B77D	1121,B77D
1121,B7E9	1121,B7E9
1121,B856	1121,B856
1121,B8C3	1121,B8C3
1121,B930	1121,B930
1121,B99D	1121,B99D
1121,BA0A	1121,BA0A
1121,BA77	1121,BA77
1121,BAE4	1121,BAE4
1121,BB51	1121,BB51
1121,BBBD	1121,BBBD
1121,BC2A	1121,BC2A
1121,BC97	1121,BC97
1121,BD04	1121,BD04
1121,BD71	1121,BD71
1121,BDDE	1121,BDDE
1121,BE4B	1121,BE4B
1121,BEB8	1121,BEB8
1121,BF25	1121,BF25
1121,BF91	1121,BF91
1121,BFFE	1121,BFFE
1121,C06B	1121,C06B
1121,C0D8	1121,C0D8
1121,C145	1121,C145
1121,C1B2	1121,C1B2
1121,C21F	1121,C21F
1121,C28C	1121,C28C
1121,C2F9	1121,C2F9
1121,C365	1121,C365
1121,C3D2	1121,C3D2
1121,C43F	1121,C43F
1121,C4AC	1121,C4AC
1121,C519	1121,C519
1121,C586	1121,C586
1121,C5F3	1121,C5F3
1121,C660	1121,C660
1121,C6CD	1121,C6CD
1121,C739	1121,C739
1121,C7A6	1121,C7A6
1121,C813	1121,C813
1121,C880	1121,C880
1121,C8ED	1121,C8ED
1121,C95A	1121,C95A
1121,C9C7	1121,C9C7
1121,CA34	1121,CA34
1121,CAA1	1121,CAA1
1121,CB0D	1121,CB0D
1121,CB7A	1121,CB7A
1121,CBE7	1121,CBE7
1121,CC54	1121,CC54
1121,CCC1	1121,CCC1
1121,CD2E	1121,CD2E
1121,CD9B	1121,CD9B
1121,CE08	1121,CE08
1121,CE75	1121,CE75
1121,CEE1	1121,CEE1
1121,CF4E	1121,CF4E
1121,CFBB	1121,CFBB
1121,D028	1121,D028
1121,D095	1121,D095
1121,D102	1121,D102
1121,D16F	1121,D16F
1121,D1DC	1121,D1DC
1121,D249	1121,D249
1121,D2B5	1121,D2B5
1121,D322	1121,D322
1121,D38F	1121,D38F
1121,D3FC	1121,D3FC
1121,D469	1121,D469
1121,D4D6	1121,D4D6
1121,D543	1121,D543
1121,D5B0	1121,D5B0
1121,D61D	1121,D61D
1121,D689	1121,D689
1121,D6F6	1121,D6F6
1121,D763	1121,D763
1122,AC01	1122,AC01
1122,AC6D	1122,AC6D
1122,ACDA	1122,ACDA
1122,AD47	1122,AD47
1122,ADB4	1122,ADB4
1122,AE21	1122,AE21
1122,AE8E	1122,AE8E
1122,AEFB	1122,AEFB
1122,AF68	1122,AF68
1122,AFD5	1122,AFD5
1122,B041	1122,B041
1122,B0AE	1122,B0AE
1122,B11B	1122,B11B
1122,B188	1122,B188
1122,B1F5	1122,B1F5
1122,B262	1122,B262
1122,B2CF	1122,B2CF
1122,B33C	1122,B33C
1122,B3A9	1122,B3A9
1122,B415	1122,B415
1122,B482	1122,B482
1122,B4EF	1122,B4EF
1122,B55C	1122,B55C
1122,B5C9	1122,B5C9
1122,B636	1122,B636
1122,B6A3	1122,B6A3
1122,B710	1122,B710
1122,B77D	1122,B77D
1122,B7E9	1122,B7E9
1122,B856	1122,B856
1122,B8C3	1122,B8C3
1122,B930	1122,B930
1122,B99D	1122,B99D
1122,BA0A	1122,BA0A
1122,BA77	1122,BA77
1122,BAE4	1122,BAE4
1122,BB51	1122,BB51
1122,BBBD	1122,BBBD
1122,BC2A	1122,BC2A
1122,BC97	1122,BC97
1122,BD04	1122,BD04
1122,BD71	1122,BD71
1122,BDDE	1122,BDDE
1122,BE4B	1122,BE4B
1122,BEB8	1122,BEB8
1122,BF25	1122,BF25
1122,BF91	1122,BF91
1122,BFFE	1122,BFFE
1122,C06B	1122,C06B
1122,C0D8	1122,C0D8
1122,C145	1122,C145
1122,C1B2	1122,C1B2
1122,C21F	1122,C21F
1122,C28C	1122,C28C
1122,C2F9	1122,C2F9
1122,C365	1122,C365
1122,C3D2	1122,C3D2
1122,C43F	1122,C43F
1122,C4AC	1122,C4AC
1122,C519	1122,C519
1122,C586	1122,C586
1122,C5F3	1122,C5F3
1122,C660	1122,C660
1122,C6CD	1122,C6CD
1122,C739	1122,C739
1122,C7A6	1122,C7A6
1122,C813	1122,C813
1122,C880	1122,C880
1122,C8ED	1122,C8ED
1122,C95A	1122,C95A
1122,C9C7	1122,C9C7
1122,CA34	1122,CA34
1122,CAA1	1122,CAA1
1122,CB0D	1122,CB0D
1122,CB7A	1122,CB7A
1122,CBE7	1122,CBE7
1122,CC54	1122,CC54
1122,CCC1	1122,CCC1
1122,CD2E	1122,CD2E
1122,CD9B	1122,CD9B
1122,CE08	1122,CE08
1122,CE75	1122,CE75
1122,CEE1	1122,CEE1
1122,CF4E	1122,CF4E
1122,CFBB	1122,CFBB
1122,D028	1122,D028
1122,D095	1122,D095
1122,D102	1122,D102
1122,D16F	1122,D16F
1122,D1DC	1122,D1DC
1122,D249	1122,D249
1122,D2B5	1122,D2B5
1122,D322	1122,D322
1122,D38F	1122,D38F
1122,D3FC	1122,D3FC
1122,D469	1122,D469
1122,D4D6	1122,D4D6
1122,D543	1122,D543
1122,D5B0	1122,D5B0
1122,D61D	1122,D61D
1122,D689	1122,D689
1122,D6F6	1122,D6F6
1122,D763	1122,D763
1123,AC01	1123,AC01
1123,AC6D	1123,AC6D
1123,ACDA	1123,ACDA
1123,AD47	1123,AD47
1123,ADB4	1123,ADB4
1123,AE21	1123,AE21
1123,AE8E	1123,AE8E
1123,AEFB	1123,AEFB
1123,AF68	1123,AF68
1123,AFD5	1123,AFD5
1123,B041	1123,B041
1123,B0AE	1123,B0AE
1123,B11B	1123,B11B
1123,B188	1123,B188
1123,B1F5	1123,B1F5
1123,B262	1123,B262
1123,B2CF	1123,B2CF
1123,B33C	1123,B33C
1123,B3A9	1123,B3A9
1123,B415	1123,B415
1123,B482	1123,B482
1123,B4EF	1123,B4EF
1123,B55C	1123,B55C
1123,B5C9	1123,B5C9
1123,B636	1123,B636
1123,B6A3	1123,B6A3
1123,B710	1123,B710
1123,B77D	1123,B77D
1123,B7E9	1123,B7E9
1123,B856	1123,B856
1123,B8C3	1123,B8C3
1123,B930	1123,B930
1123,B99D	1123,B99D
1123,BA0A	1123,BA0A
1123,BA77	1123,BA77
1123,BAE4	1123,BAE4
1123,BB51	1123,BB51
1123,BBBD	1123,BBBD
1123,BC2A	1123,BC2A
1123,BC97	1123,BC97
1123,BD04	1123,BD04
1123,BD71	1123,BD71
1123,BDDE	1123,BDDE
1123,BE4B	1123,BE4B
1123,BEB8	1123,BEB8
1123,BF25	1123,BF25
1123,BF91	1123,BF91
1123,BFFE	1123,BFFE
1123,C06B	1123,C06B
1123,C0D8	1123,C0D8
1123,C145	1123,C145
1123,C1B2	1123,C1B2
1123,C21F	1123,C21F
1123,C28C	1123,C28C
1123,C2F9	1123,C2F9
1123,C365	1123,C365
1123,C3D2	1123,C3D2
1123,C43F	1123,C43F
1123,C4AC	1123,C4AC
1123,C519	1123,C519
1123,C586	1123,C586
1123,C5F3	1123,C5F3
1123,C660	1123,C660
1123,C6CD	1123,C6CD
1123,C739	1123,C739
1123,C7A6	1123,C7A6
1123,C813	1123,C813
1123,C880	1123,C880
1123,C8ED	1123,C8ED
1123,C95A	1123,C95A
1123,C9C7	1123,C9C7
1123,CA34	1123,CA34
1123,CAA1	1123,CAA1
1123,CB0D	1123,CB0D
1123,CB7A	1123,CB7A
1123,CBE7	1123,CBE7
1123,CC54	1123,CC54
1123,CCC1	1123,CCC1
1123,CD2E	1123,CD2E
1123,CD9B	1123,CD9B
1123,CE08	1123,CE08
1123,CE75	1123,CE75
1123,CEE1	1123,CEE1
1123,CF4E	1123,CF4E
1123,CFBB	1123,CFBB
1123,D028	1123,D028
1123,D095	1123,D095
1123,D102	1123,D102
1123,D16F	1123,D16F
1123,D1DC	1123,D1DC
1123,D249	1123,D249
1123,D2B5	1123,D2B5
1123,D322	1123,D322
1123,D38F	1123,D38F
1123,D3FC	1123,D3FC
1123,D469	1123,D469
1123,D4D6	1123,D4D6
1123,D543	1123,D543
1123,D5B0	1123,D5B0
1123,D61D	1123,D61D
1123,D689	1123,D689
1123,D6F6	1123,D6F6
1123,D763	1123,D763
1124,AC01	1124,AC01
1124,AC6D	1124,AC6D
1124,ACDA	1124,ACDA
1124,AD47	1124,AD47
1124,ADB4	1124,ADB4
1124,AE21	1124,AE21
1124,AE8E	1124,AE8E
1124,AEFB	1124,AEFB
1124,AF68	1124,AF68
1124,AFD5	1124,AFD5
1124,B041	1124,B041
1124,B0AE	1124,B0AE
1124,B11B	1124,B11B
1124,B188	1124,B188
1124,B1F5	1124,B1F5
1124,B262	1124,B262
1124,B2CF	1124,B2CF
1124,B33C	1124,B33C
1124,B3A9	1124,B3A9
1124,B415	1124,B415
1124,B482	1124,B482
1124,B4EF	1124,B4EF
1124,B55C	1124,B55C
1124,B5C9	1124,B5C9
1124,B636	1124,B636
1124,B6A3	1124,B6A3
1124,B710	1124,B710
1124,B77D	1124,B77D
1124,B7E9	1124,B7E9
1124,B856	1124,B856
1124,B8C3	1124,B8C3
1124,B930	1124,B930
1124,B99D	1124,B99D
1124,BA0A	1124,BA0A
1124,BA77	1124,BA77
1124,BAE4	1124,BAE4
1124,BB51	1124,BB51
1124,BBBD	1124,BBBD
1124,BC2A	1124,BC2A
1124,BC97	1124,BC97
1124,BD04	1124,BD04
1124,BD71	1124,BD71
1124,BDDE	1124,BDDE
1124,BE4B	1124,BE4B
1124,BEB8	1124,BEB8
1124,BF25	1124,BF25
1124,BF91	1124,BF91
1124,BFFE	1124,BFFE
1124,C06B	1124,C06B
1124,C0D8	1124,C0D8
1124,C145	1124,C145
1124,C1B2	1124,C1B2
1124,C21F	1124,C21F
1124,C28C	1124,C28C
1124,C2F9	1124,C2F9
1124,C365	1124,C365
1124,C3D2	1124,C3D2
1124,C43F	1124,C43F
1124,C4AC	1124,C4AC
1124,C519	1124,C519
1124,C586	1124,C586
1124,C5F3	1124,C5F3
1124,C660	1124,C660
1124,C6CD	1124,C6CD
1124,C739	1124,C739
1124,C7A6	1124,C7A6
1124,C813	1124,C813
1124,C880	1124,C880
1124,C8ED	1124,C8ED
1124,C95A	1124,C95A
1124,C9C7	1124,C9C7
1124,CA34	1124,CA34
1124,CAA1	1124,CAA1
1124,CB0D	1124,CB0D
1124,CB7A	1124,CB7A
1124,CBE7	1124,CBE7
1124,CC54	1124,CC54
1124,CCC1	1124,CCC1
1124,CD2E	1124,CD2E
1124,CD9B	1124,CD9B
1124,CE08	1124,CE08
1124,CE75	1124,CE75
1124,CEE1	1124,CEE1
1124,CF4E	1124,CF4E
1124,CFBB	1124,CFBB
1124,D028	1124,D028
1124,D095	1124,D095
1124,D102	1124,D102
1124,D16F	1124,D16F
1124,D1DC	1124,D1DC
1124,D249	1124,D249
1124,D2B5	1124,D2B5
1124,D322	1124,D322
1124,D38F	1124,D38F
1124,D3FC	1124,D3FC
1124,D469	1124,D469
1124,D4D6	1124,D4D6
1124,D543	1124,D543
1124,D5B0	1124,D5B0
1124,D61D	1124,D61D
1124,D689	1124,D689
1124,D6F6	1124,D6F6
1124,D763	1124,D763
1125,AC01	1125,AC01
1125,AC6D	1125,AC6D
1125,ACDA	1125,ACDA
1125,AD47	1125,AD47
1125,ADB4	1125,ADB4
1125,AE21	1125,AE21
1125,AE8E	1125,AE8E
1125,AEFB	1125,AEFB
1125,AF68	1125,AF68
1125,AFD5	1125,AFD5
1125,B041	1125,B041
1125,B0AE	1125,B0AE
1125,B11B	1125,B11B
1125,B188	1125,B188
1125,B1F5	1125,B1F5
1125,B262	1125,B262
1125,B2CF	1125,B2CF
1125,B33C	1125,B33C
1125,B3A9	1125,B3A9
1125,B415	1125,B415
1125,B482	1125,B482
1125,B4EF	1125,B4EF
1125,B55C	1125,B55C
1125,B5C9	1125,B5C9
1125,B636	1125,B636
1125,B6A3	1125,B6A3
1125,B710	1125,B710
1125,B77D	1125,B77D
1125,B7E9	1125,B7E9
1125,B856	1125,B856
1125,B8C3	1125,B8C3
1125,B930	1125,B930
1125,B99D	1125,B99D
1125,BA0A	1125,BA0A
1125,BA77	1125,BA77
1125,BAE4	1125,BAE4
1125,BB51	1125,BB51
1125,BBBD	1125,BBBD
1125,BC2A	1125,BC2A
1125,BC97	1125,BC97
1125,BD04	1125,BD04
1125,BD71	1125,BD71
1125,BDDE	1125,BDDE
1125,BE4B	1125,BE4B
1125,BEB8	1125,BEB8
1125,BF25	1125,BF25
1125,BF91	1125,BF91
1125,BFFE	1125,BFFE
1125,C06B	1125,C06B
1125,C0D8	1125,C0D8
1125,C145	1125,C145
1125,C1B2	1125,C1B2
1125,C21F	1125,C21F
1125,C28C	1125,C28C
1125,C2F9	1125,C2F9
1125,C365	1125,C365
1125,C3D2	1125,C3D2
1125,C43F	1125,C43F
1125,C4AC	1125,C4AC
1125,C519	1125,C519
1125,C586	1125,C586
1125,C5F3	1125,C5F3
1125,C660	1125,C660
1125,C6CD	1125,C6CD
1125,C739	1125,C739
1125,C7A6	1125,C7A6
1125,C813	1125,C813
1125,C880	1125,C880
1125,C8ED	1125,C8ED
1125,C95A	1125,C95A
1125,C9C7	1125,C9C7
1125,CA34	1125,CA34
1125,CAA1	1125,CAA1
1125,CB0D	1125,CB0D
1125,CB7A	1125,CB7A
1125,CBE7	1125,CBE7
1125,CC54	1125,CC54
1125,CCC1	1125,CCC1
1125,CD2E	1125,CD2E
1125,CD9B	1125,CD9B
1125,CE08	1125,CE08
1125,CE75	1125,CE75
1125,CEE1	1125,CEE1
1125,CF4E	1125,CF4E
1125,CFBB	1125,CFBB
1125,D028	1125,D028
1125,D095	1125,D095
1125,D102	1125,D102
1125,D16F	1125,D16F
1125,D1DC	1125,D1DC
1125,D249	1125,D249
1125,D2B5	1125,D2B5
1125,D322	1125,D322
1125,D38F	1125,D38F
1125,D3FC	1125,D3FC
1125,D469	1125,D469
1125,D4D6	1125,D4D6
1125,D543	1125,D543
1125,D5B0	1125,D5B0
1125,D61D	1125,D61D
1125,D689	1125,D689
1125,D6F6	1125,D6F6
1125,D763	1125,D763
1126,AC01	1126,AC01
1126,AC6D	1126,AC6D
1126,ACDA	1126,ACDA
1126,AD47	1126,AD47
1126,ADB4	1126,ADB4
1126,AE21	1126,AE21
1126,AE8E	1126,AE8E
1126,AEFB	1126,AEFB
1126,AF68	1126,AF68
1126,AFD5	1126,AFD5
1126,B041	1126,B041
1126,B0AE	1126,B0AE
1126,B11B	1126,B11B
1126,B188	1126,B188
1126,B1F5	1126,B1F5
1126,B262	1126,B262
1126,B2CF	1126,B2CF
1126,B33C	1126,B33C
1126,B3A9	1126,B3A9
1126,B415	1126,B415
1126,B482	1126,B482
1126,B4EF	1126,B4EF
1126,B55C	1126,B55C
1126,B5C9	1126,B5C9
1126,B636	1126,B636
1126,B6A3	1126,B6A3
1126,B710	1126,B710
1126,B77D	1126,B77D
1126,B7E9	1126,B7E9
1126,B856	1126,B856
1126,B8C3	1126,B8C3
1126,B930	1126,B930
1126,B99D	1126,B99D
1126,BA0A	1126,BA0A
1126,BA77	1126,BA77
1126,BAE4	1126,BAE4
1126,BB51	1126,BB51
1126,BBBD	1126,BBBD
1126,BC2A	1126,BC2A
1126,BC97	1126,BC97
1126,BD04	1126,BD04
1126,BD71	1126,BD71
1126,BDDE	1126,BDDE
1126,BE4B	1126,BE4B
1126,BEB8	1126,BEB8
1126,BF25	1126,BF25
1126,BF91	1126,BF91
1126,BFFE	1126,BFFE
1126,C06B	1126,C06B
1126,C0D8	1126,C0D8
1126,C145	1126,C145
1126,C1B2	1126,C1B2
1126,C21F	1126,C21F
1126,C28C	1126,C28C
1126,C2F9	1126,C2F9
1126,C365	1126,C365
1126,C3D2	1126,C3D2
1126,C43F	1126,C43F
1126,C4AC	1126,C4AC
1126,C519	1126,C519
1126,C586	1126,C586
1126,C5F3	1126,C5F3
1126,C660	1126,C660
1126,C6CD	1126,C6CD
1126,C739	1126,C739
1126,C7A6	1126,C7A6
1126,C813	1126,C813
1126,C880	1126,C880
1126,C8ED	1126,C8ED
1126,C95A	1126,C95A
1126,C9C7	1126,C9C7
1126,CA34	1126,CA34
1126,CAA1	1126,CAA1
1126,CB0D	1126,CB0D
1126,CB7A	1126,CB7A
1126,CBE7	1126,CBE7
1126,CC54	1126,CC54
1126,CCC1	1126,CCC1
1126,CD2E	1126,CD2E
1126,CD9B	1126,CD9B
1126,CE08	1126,CE08
1126,CE75	1126,CE75
1126,CEE1	1126,CEE1
1126,CF4E	1126,CF4E
1126,CFBB	1126,CFBB
1126,D028	1126,D028
1126,D095	1126,D095
1126,D102	1126,D102
1126,D16F	1126,D16F
1126,D1DC	1126,D1DC
1126,D249	1126,D249
1126,D2B5	1126,D2B5
1126,D322	1126,D322
1126,D38F	1126,D38F
1126,D3FC	1126,D3FC
1126,D469	1126,D469
1126,D4D6	1126,D4D6
1126,D543	1126,D543
1126,D5B0	1126,D5B0
1126,D61D	1126,D61D
1126,D689	1126,D689
1126,D6F6	1126,D6F6
1126,D763	1126,D763
1127,AC01	1127,AC01
1127,AC6D	1127,AC6D
1127,ACDA	1127,ACDA
1127,AD47	1127,AD47
1127,ADB4	1127,ADB4
1127,AE21	1127,AE21
1127,AE8E	1127,AE8E
1127,AEFB	1127,AEFB
1127,AF68	1127,AF68
1127,AFD5	1127,AFD5
1127,B041	1127,B041
1127,B0AE	1127,B0AE
1127,B11B	1127,B11B
1127,B188	1127,B188
1127,B1F5	1127,B1F5
1127,B262	1127,B262
1127,B2CF	1127,B2CF
1127,B33C	1127,B33C
1127,B3A9	1127,B3A9
1127,B415	1127,B415
1127,B482	1127,B482
1127,B4EF	1127,B4EF
1127,B55C	1127,B55C
1127,B5C9	1127,B5C9
1127,B636	1127,B636
1127,B6A3	1127,B6A3
1127,B710	1127,B710
1127,B77D	1127,B77D
1127,B7E9	1127,B7E9
1127,B856	1127,B856
1127,B8C3	1127,B8C3
1127,B930	1127,B930
1127,B99D	1127,B99D
1127,BA0A	1127,BA0A
1127,BA77	1127,BA77
1127,BAE4	1127,BAE4
1127,BB51	1127,BB51
1127,BBBD	1127,BBBD
1127,BC2A	1127,BC2A
1127,BC97	1127,BC97
1127,BD04	1127,BD04
1127,BD71	1127,BD71
1127,BDDE	1127,BDDE
1127,BE4B	1127,BE4B
1127,BEB8	1127,BEB8
1127,BF25	1127,BF25
1127,BF91	1127,BF91
1127,BFFE	1127,BFFE
1127,C06B	1127,C06B
1127,C0D8	1127,C0D8
1127,C145	1127,C145
1127,C1B2	1127,C1B2
1127,C21F	1127,C21F
1127,C28C	1127,C28C
1127,C2F9	1127,C2F9
1127,C365	1127,C365
1127,C3D2	1127,C3D2
1127,C43F	1127,C43F
1127,C4AC	1127,C4AC
1127,C519	1127,C519
1127,C586	1127,C586
1127,C5F3	1127,C5F3
1127,C660	1127,C660
1127,C6CD	1127,C6CD
1127,C739	1127,C739
1127,C7A6	1127,C7A6
1127,C813	1127,C813
1127,C880	1127,C880
1127,C8ED	1127,C8ED
1127,C95A	1127,C95A
1127,C9C7	1127,C9C7
1127,CA34	1127,CA34
1127,CAA1	1127,CAA1
1127,CB0D	1127,CB0D
1127,CB7A	1127,CB7A
1127,CBE7	1127,CBE7
1127,CC54	1127,CC54
1127,CCC1	1127,CCC1
1127,CD2E	1127,CD2E
1127,CD9B	1127,CD9B
1127,CE08	1127,CE08
1127,CE75	1127,CE75
1127,CEE1	1127,CEE1
1127,CF4E	1127,CF4E
1127,CFBB	1127,CFBB
1127,D028	1127,D028
1127,D095	1127,D095
1127,D102	1127,D102
1127,D16F	1127,D16F
1127,D1DC	1127,D1DC
1127,D249	1127,D249
1127,D2B5	1127,D2B5
1127,D322	1127,D322
1127,D38F	1127,D38F
1127,D3FC	1127,D3FC
1127,D469	1127,D469
1127,D4D6	1127,D4D6
1127,D543	1127,D543
1127,D5B0	1127,D5B0
1127,D61D	1127,D61D
1127,D689	1127,D689
1127,D6F6	1127,D6F6
1127,D763	1127,D763
1128,AC01	1128,AC01
1128,AC6D	1128,AC6D
1128,ACDA	1128,ACDA
1128,AD47	1128,AD47
1128,ADB4	1128,ADB4
1128,AE21	1128,AE21
1128,AE8E	1128,AE8E
1128,AEFB	1128,AEFB
1128,AF68	1128,AF68
1128,AFD5	1128,AFD5
1128,B041	1128,B041
1128,B0AE	1128,B0AE
1128,B11B	1128,B11B
1128,B188	1128,B188
1128,B1F5	1128,B1F5
1128,B262	1128,B262
1128,B2CF	1128,B2CF
1128,B33C	1128,B33C
1128,B3A9	1128,B3A9
1128,B415	1128,B415
1128,B482	1128,B482
1128,B4EF	1128,B4EF
1128,B55C	1128,B55C
1128,B5C9	1128,B5C9
1128,B636	1128,B636
1128,B6A3	1128,B6A3
1128,B710	1128,B710
1128,B77D	1128,B77D
1128,B7E9	1128,B7E9
1128,B856	1128,B856
1128,B8C3	1128,B8C3
1128,B930	1128,B930
1128,B99D	1128,B99D
1128,BA0A	1128,BA0A
1128,BA77	1128,BA77
1128,BAE4	1128,BAE4
1128,BB51	1128,BB51
1128,BBBD	1128,BBBD
1128,BC2A	1128,BC2A
1128,BC97	1128,BC97
1128,BD04	1128,BD04
1128,BD71	1128,BD71
1128,BDDE	1128,BDDE
1128,BE4B	1128,BE4B
1128,BEB8	1128,BEB8
1128,BF25	1128,BF25
1128,BF91	1128,BF91
1128,BFFE	1128,BFFE
1128,C06B	1128,C06B
1128,C0D8	1128,C0D8
